LI-8200,CHAMBER,LI-8200,,LI-7810,LI-7810,LI-8200
106.636230,12.172570,101.530000,6835.060000,2.568470,1.452490,19
106.637210,13.111860,101.520000,6835.060000,1.281680,1.055800,19
106.638530,13.006940,101.520000,6835.060000,0.000000,0.000000,20
106.639530,14.195230,101.520000,6835.060000,2.525790,1.970820,20
106.640910,12.671950,101.520000,6835.060000,4.318930,2.889500,21
106.641900,13.219200,101.510000,6835.060000,2.739560,2.659750,21
106.643190,13.468850,101.510000,6835.060000,3.028080,1.931900,22
106.644180,13.479660,101.500000,6835.060000,2.068450,1.992890,22
106.645530,12.642180,101.510000,6835.060000,1.593380,1.593380,23
106.646520,12.512440,101.520000,6835.060000,1.578660,1.449300,23
106.648800,13.346100,101.500000,6835.060000,2.459020,2.082040,24
106.649780,14.055020,101.490000,6835.060000,2.044250,2.044250,24
106.651190,13.699910,101.480000,6835.060000,1.611830,1.124790,29
106.652190,14.541150,101.490000,6835.060000,1.627160,1.477980,29
106.658150,13.157700,101.480000,6835.060000,1.094860,0.939190,30
106.659130,13.421480,101.480000,6835.060000,1.142450,1.044870,30
106.660270,13.217520,101.460000,6835.060000,1.182830,0.983510,31
106.661250,13.504660,101.440000,6835.060000,0.770480,0.655430,31
106.662370,12.584100,101.480000,6835.060000,1.277810,1.277810,32
106.663370,13.075520,101.470000,6835.060000,1.597440,1.234240,32
106.665020,12.776300,101.470000,6835.060000,1.412410,1.412410,33
106.666010,13.069750,101.470000,6835.060000,1.558350,1.558350,33
106.667160,13.118590,101.460000,6835.060000,2.012420,1.911110,34
106.668150,13.602450,101.460000,6835.060000,2.411720,1.856440,34
106.669340,12.716370,101.470000,6835.060000,2.213670,1.562660,35
106.670340,13.232880,101.470000,6835.060000,2.017540,1.731480,35
106.671480,12.393000,101.470000,6835.060000,0.000000,0.000000,36
106.672470,12.268290,101.480000,6835.060000,1.622410,1.459790,36
106.673780,11.299710,101.490000,6835.060000,1.783660,1.144390,37
106.674770,11.634950,101.480000,6835.060000,1.566700,1.094450,37
106.675960,11.751740,101.480000,6835.060000,0.000000,0.000000,38
106.676960,12.022670,101.480000,6835.060000,1.633430,1.546200,38
106.678820,12.019670,101.480000,6835.060000,2.673080,1.792280,39
106.679810,11.775860,101.480000,6835.060000,1.681050,1.356120,39
106.681170,11.843380,101.470000,6835.060000,1.003160,1.003160,40
106.682160,11.874330,101.450000,6835.060000,0.721550,0.714070,40
106.683370,12.019100,101.470000,6835.060000,3.388580,2.522840,41
106.684360,12.253800,101.460000,6835.060000,0.000000,0.000000,41
106.685470,12.036070,101.460000,6835.060000,2.857600,2.277500,42
106.686460,12.129290,101.460000,6835.060000,2.094450,2.094450,42
106.687600,12.160350,101.460000,6835.060000,1.531920,1.047460,43
106.688600,12.071550,101.460000,6835.060000,1.171420,0.955930,43
106.690200,11.812080,101.480000,6835.060000,1.509490,1.509490,44
106.691180,12.273170,101.460000,6835.060000,2.045710,1.581210,44
106.692430,12.251000,101.460000,6835.060000,2.311740,2.311740,45
106.693410,12.360160,101.470000,6835.060000,0.000000,0.000000,45
106.694510,12.375360,101.450000,6835.060000,4.289400,3.706740,46
106.695510,12.429820,101.450000,6835.060000,3.529860,3.397980,46
106.696670,12.247360,101.440000,6835.060000,2.684510,1.767630,47
106.697650,12.289960,101.460000,6835.060000,1.867580,1.756130,47
106.698730,11.932190,101.470000,6835.060000,0.000000,0.000000,48
106.699720,12.005850,101.460000,6835.060000,2.708660,2.383460,48
106.701810,12.194100,101.450000,6835.060000,0.000000,0.000000,25
106.702800,12.267570,101.460000,6835.060000,4.513220,2.596280,25
106.704180,12.233490,101.460000,6835.060000,1.699170,1.070510,26
106.705160,12.811610,101.450000,6835.060000,1.247690,1.078230,26
106.706520,12.258040,101.450000,6835.060000,1.946060,1.913580,27
106.707500,12.406490,101.460000,6835.060000,1.994760,1.885710,27
106.709870,12.022930,101.460000,6835.060000,3.259270,2.595250,28
106.710860,12.385340,101.460000,6835.060000,2.884640,2.386040,28
