File_Name,File_Path,File_Description,Standard,UTC_Offset,Date_Start,Date_End
TEMPESTX_20230301_concentrations.csv,concentrations,Measured gas concentration data,,-5,20230301,20230301
TEMPESTX_20230320_concentrations.csv,concentrations,Measured gas concentration data,,-5,20230320,20230320
TEMPESTX_20230407_concentrations.csv,concentrations,Measured gas concentration data,,-5,20230407,20230407
TEMPESTX_20230419_concentrations.csv,concentrations,Measured gas concentration data,,-5,20230419,20230419
TEMPESTX_20230522_concentrations.csv,concentrations,Measured gas concentration data,,-5,20230522,20230522
TEMPESTX_20230604_concentrations.csv,concentrations,Measured gas concentration data,,-5,20230604,20230604
TEMPESTX_20230605_concentrations.csv,concentrations,Measured gas concentration data,,-5,20230605,20230605
TEMPESTX_20230606_concentrations.csv,concentrations,Measured gas concentration data,,-5,20230606,20230606
TEMPESTX_20230607_concentrations.csv,concentrations,Measured gas concentration data,,-5,20230607,20230607
TEMPESTX_20230607b_concentrations.csv,concentrations,Measured gas concentration data,,-5,20230607,20230607
TEMPESTX_20230608_concentrations.csv,concentrations,Measured gas concentration data,,-5,20230608,20230608
TEMPESTX_20230609_concentrations.csv,concentrations,Measured gas concentration data,,-5,20230609,20230609
TEMPESTX_20230627_concentrations.csv,concentrations,Measured gas concentration data,,-5,20230627,20230627
TEMPESTX_20230711_concentrations.csv,concentrations,Measured gas concentration data,,-5,20230711,20230711
TEMPESTX_20230726_concentrations.csv,concentrations,Measured gas concentration data,,-5,20230726,20230726
TEMPESTX_20230815_concentrations.csv,concentrations,Measured gas concentration data,,-5,20230815,20230815
TEMPESTX_20230829_concentrations.csv,concentrations,Measured gas concentration data,,-5,20230829,20230829
TEMPESTX_20230912_concentrations.csv,concentrations,Measured gas concentration data,,-5,20230912,20230912
TEMPESTX_20230925_concentrations.csv,concentrations,Measured gas concentration data,,-5,20230925,20230925
TEMPESTX_20231011_concentrations.csv,concentrations,Measured gas concentration data,,-5,20231011,20231011
